gender,age,race,age_partner,attractiveness,sincerity,intelligence,funny,ambitious,shared_interests,race_partner,field_study,from,match
male,29,African American,26,average,5,5,5,5,5,Caucasian American,"Social Science, Psychologist","South Orange, New Jersey",0
female,23,Caucasian American,26,average,6,5,4,5,5,Caucasian American,Biological Sciences/Chemistry/Physics,England,0
female,27,Asian-American,30,sligthly_above,6,6,6,6,4,Caucasian American,Biological Sciences/Chemistry/Physics,California,0
male,22,Caucasian American,24,sligthly_above,6,9,8,8,8,Caucasian American,Law,Russia,0
female,28,Caucasian American,29,average,6,5,6,6,3,Other,"Social Science, Psychologist",NYC-6 yrs. Grew up in Nebraska,0
male,29,Caucasian American,23,above,10,7,8,5,5,Caucasian American,Math,Italy,0
female,23,Caucasian American,32,sligthly_above,5,6,7,7,6,Caucasian American,Fine Arts/Arts Administration,Florida,0
male,27,Caucasian American,22,below,9,10,4,8,4,Caucasian American,Math,Germany,0
male,29,Hispanic American,29,above,9,7,7,7,8,Other,Business/Econ/Finance,Costa Rica,0
male,23,Asian-American,24,average,10,10,6,10,1,Caucasian American,Engineering,"nashville, TN",0
female,22,Asian-American,27,average,10,10,8,6,5,African American,Engineering,HKG,0
male,29,Asian-American,33,average,5,7,3,7,2,African American,Math,Korea,0
male,25,Caucasian American,26,average,9,9,9,7,3,African American,Biological Sciences/Chemistry/Physics,Budapest,0
female,29,Hispanic American,24,sligthly_above,9,8,10,6,5,Caucasian American,Social Work,NYC,0
female,25,Caucasian American,28,average,5,6,4,6,4,Hispanic American,Biological Sciences/Chemistry/Physics,Texas,0
male,32,Caucasian American,30,average,8,8,6,5,3,Caucasian American,Biological Sciences/Chemistry/Physics,Canada,0
male,32,Caucasian American,27,average,7,6,7,5,5,Asian-American,"Education, Academia",NYC,0
male,34,Caucasian American,23,average,6,7,4,6,5,Asian-American,Biological Sciences/Chemistry/Physics,Israel,0
male,23,Asian-American,24,average,7,7,6,8,7,Caucasian American,Engineering,India and NJ,0
male,22,Caucasian American,20,sligthly_above,10,8,7,8,6,Hispanic American,History/Religion/Philosophy,"New York, NY",0
male,21,Caucasian American,23,average,7,7,5,7,5,Other,Law,Minnesota,0
male,29,African American,29,below,4,5,3,2,3,Asian-American,"Social Science, Psychologist","South Orange, New Jersey",0
male,28,Asian-American,26,average,6,7,6,9,5,Asian-American,Business/Econ/Finance,Bangladesh,0
male,34,Caucasian American,24,average,8,7,9,8,7,Caucasian American,Law,Bronx Science,0
female,29,Asian-American,29,average,8,7,6,5,5,Caucasian American,"Education, Academia",philippines,0
female,25,Other,26,average,6,5,6,5,4,Caucasian American,"Education, Academia",Washington State,0
male,39,Caucasian American,28,sligthly_above,6,6,4,6,3,Caucasian American,Social Work,"Cincinnati, Ohio",0
female,26,Caucasian American,29,above,10,10,10,10,10,Asian-American,Political Science/International Affairs,Washington DC,0
female,26,Asian-American,24,below,4,6,4,6,4,Hispanic American,Biological Sciences/Chemistry/Physics,Maryland,0
male,28,Caucasian American,28,below,6,6,6,5,4,Asian-American,Biological Sciences/Chemistry/Physics,Greece,0
female,27,Asian-American,25,sligthly_above,7,7,9,6,8,Caucasian American,Social Work,New York,0
female,25,Asian-American,26,sligthly_above,9,9,8,8,7,Caucasian American,Law,New York,0
female,27,Asian-American,22,average,6,8,6,7,6,Other,Social Work,New York,0
female,34,Caucasian American,23,average,6,8,5,8,3,Caucasian American,"Education, Academia","Washington, DC",0
female,24,Caucasian American,28,sligthly_above,7,6,6,5,5,Hispanic American,"Education, Academia",I am from NYC,0
male,27,Caucasian American,25,sligthly_above,8,8,5,7,6,Caucasian American,"Social Science, Psychologist",Russia,0
male,30,Asian-American,21,average,8,7,5,9,5,Asian-American,Law,China,0
male,32,Caucasian American,22,above,9,8,10,8,7,Asian-American,Engineering,Born in Iran,0
male,22,Caucasian American,25,below,2,8,7,6,5,Caucasian American,Math,Russia,0
male,28,Caucasian American,21,average,4,6,3,7,3,Asian-American,"Medical Science, Pharmaceuticals, Bio Tech",Boston,0
male,23,Caucasian American,25,average,8,8,8,8,7,African American,Biological Sciences/Chemistry/Physics,Philadelphia,0
female,35,Asian-American,21,average,5,6,5,5,5,Caucasian American,"Social Science, Psychologist",New York,0
male,24,Asian-American,23,average,6,8,2,4,4,Caucasian American,Biological Sciences/Chemistry/Physics,Germany,0
female,25,Other,29,above,7,8,8,10,8,Asian-American,Political Science/International Affairs,Detroit suburbs,0
female,22,Caucasian American,25,average,5,8,7,8,4,Caucasian American,History/Religion/Philosophy,"Boulder, Colorado",0
male,29,Caucasian American,26,average,5,6,5,5,5,Asian-American,Biological Sciences/Chemistry/Physics,czech republic,0
female,23,Asian-American,29,average,7,6,5,10,4,Caucasian American,Political Science/International Affairs,New Jersey,0
male,27,Caucasian American,22,average,7,8,5,9,5,Asian-American,Business/Econ/Finance,New York,0
male,22,Caucasian American,23,sligthly_above,7,7,8,8,5,Other,Business/Econ/Finance,Chicago,0
female,22,Caucasian American,27,average,6,6,5,9,5,Other,Political Science/International Affairs,"San Diego, CA",0
male,27,Caucasian American,24,sligthly_above,6,6,4,4,4,Other,Business/Econ/Finance,Midwest USA,0
male,28,Hispanic American,22,average,9,9,6,8,4,Asian-American,Business/Econ/Finance,"Bogota, Colombia",0
male,32,Caucasian American,23,below,10,10,1,10,1,Caucasian American,Biological Sciences/Chemistry/Physics,Canada,0
male,27,Caucasian American,26,sligthly_above,6,6,6,6,9,Hispanic American,Business/Econ/Finance,Yugoslavia,0
female,28,Caucasian American,28,above,9,9,9,8,7,Caucasian American,Political Science/International Affairs,"ottawa, canada",0
female,27,Asian-American,24,average,6,7,4,4,3,Caucasian American,"Social Science, Psychologist",new jersey,0
male,27,Asian-American,23,below,4,7,7,7,3,Caucasian American,Business/Econ/Finance,Philippines,0
male,24,Caucasian American,30,average,9,9,4,9,4,Caucasian American,Biological Sciences/Chemistry/Physics,Russia/Germany,0
male,23,African American,25,average,8,8,8,8,6,Caucasian American,Law,California,0
male,32,Other,30,average,9,8,5,9,8,Asian-American,Political Science/International Affairs,"New Delhi, India",0
female,26,Caucasian American,27,average,8,9,6,8,6,Asian-American,Biological Sciences/Chemistry/Physics,New York,0
female,29,Caucasian American,27,above,10,10,10,10,10,Asian-American,"Social Science, Psychologist","Warsaw, Poland",0
male,29,Caucasian American,25,average,4,7,6,7,6,Caucasian American,Biological Sciences/Chemistry/Physics,czech republic,0
female,28,Caucasian American,25,sligthly_above,10,8,6,8,5,Asian-American,English/Creative Writing/Journalism,Texas,0
female,30,Asian-American,29,sligthly_above,7,7,7,5,5,Caucasian American,"Education, Academia",New York City,0
male,24,Caucasian American,26,average,6,7,4,5,2,Caucasian American,"Social Science, Psychologist",Israel,0
male,22,Caucasian American,25,above,7,9,8,9,7,Caucasian American,Law,England,0
female,23,Caucasian American,28,sligthly_above,7,8,9,7,9,Caucasian American,Biological Sciences/Chemistry/Physics,PA,0
male,32,Caucasian American,33,sligthly_above,8,8,8,8,7,Caucasian American,"Education, Academia",NYC,0
female,23,Caucasian American,24,sligthly_above,8,8,7,8,7,Caucasian American,Law,Texas,0
male,28,Caucasian American,22,sligthly_above,7,7,6,8,7,Caucasian American,Business/Econ/Finance,Connecticut,0
female,25,Asian-American,27,below,4,4,2,3,2,Caucasian American,"Education, Academia",Taiwan,0
male,32,Caucasian American,24,average,8,9,6,8,3,Caucasian American,Engineering,"boston, ma",0
male,27,Asian-American,23,average,10,10,10,10,7,Caucasian American,Business/Econ/Finance,Minneapolis,0
male,32,Caucasian American,28,average,7,8,8,7,4,Caucasian American,"Education, Academia",NYC,0
male,24,Caucasian American,21,average,6,6,8,10,8,Asian-American,Business/Econ/Finance,Washington DC,0
female,34,Caucasian American,24,sligthly_above,7,8,7,5,8,Caucasian American,English/Creative Writing/Journalism,Ohio,0
female,23,Caucasian American,25,sligthly_above,10,8,8,10,5,Caucasian American,Social Work,Florida,0
male,31,Caucasian American,24,average,9,8,6,8,5,Caucasian American,Business/Econ/Finance,Germany,0
male,26,Asian-American,26,sligthly_above,4,7,5,6,5,African American,Business/Econ/Finance,new york,0
female,28,Hispanic American,27,above,8,8,8,5,5,Caucasian American,Political Science/International Affairs,Mexico,0
female,29,Other,28,below,8,7,1,5,1,Caucasian American,"Education, Academia",Taiwan,0
male,24,Hispanic American,21,average,7,7,5,4,8,Caucasian American,Law,Miami,0
male,24,Caucasian American,25,average,9,4,7,8,4,Asian-American,Engineering,Persia,0
male,21,Caucasian American,20,sligthly_above,5,5,6,5,3,African American,"Medical Science, Pharmaceuticals, Bio Tech",Staten Island,0
female,26,Caucasian American,25,average,10,10,5,5,1,Asian-American,Social Work,Salt Lake City,0
female,22,Caucasian American,24,average,7,7,5,5,8,Asian-American,Math,Vestal,0
female,24,Caucasian American,28,average,8,8,9,7,7,Caucasian American,Fine Arts/Arts Administration,"Saratoga, NY",0
female,25,Caucasian American,27,average,4,4,4,4,2,Caucasian American,Business/Econ/Finance,New York,0
female,23,Caucasian American,25,average,10,10,5,10,1,Asian-American,Fine Arts/Arts Administration,San Diego,0
male,25,Caucasian American,30,average,5,4,3,6,5,Hispanic American,Other,France,0
female,25,Other,27,average,6,5,5,5,5,Caucasian American,"Education, Academia",Seattle,0
male,24,Caucasian American,36,sligthly_above,10,10,6,10,6,African American,"Social Science, Psychologist",Michigan,0
female,24,Asian-American,22,average,8,8,5,7,6,Caucasian American,Law,"Palo Alto, California",0
female,26,Asian-American,25,average,5,7,3,6,4,Caucasian American,Biological Sciences/Chemistry/Physics,Maryland,0
female,22,Asian-American,24,sligthly_above,7,9,6,9,5,Hispanic American,Law,Southern California,0
male,26,Caucasian American,26,sligthly_above,8,9,8,8,8,Caucasian American,Business/Econ/Finance,Spain,0
female,31,Caucasian American,27,average,9,8,5,6,3,Asian-American,History/Religion/Philosophy,NYC,0
male,23,Caucasian American,26,below,5,5,5,2,2,Asian-American,History/Religion/Philosophy,new york,0
male,28,Caucasian American,28,average,6,7,6,7,6,Caucasian American,Film,Ann Arbor,0
female,23,Hispanic American,24,sligthly_above,7,5,5,4,3,Caucasian American,Social Work,Ohio,0
male,30,Caucasian American,27,average,7,7,6,6,5,African American,Business/Econ/Finance,Italy,0
female,26,Caucasian American,32,average,8,9,6,7,7,Hispanic American,Engineering,New Jersey,0
female,33,Caucasian American,23,above,8,8,6,7,9,Caucasian American,"Education, Academia","Brooklyn, NY",0
female,29,Caucasian American,23,average,6,6,5,6,3,Caucasian American,"Education, Academia","Great Neck, NY",0
male,25,Asian-American,32,average,5,9,6,5,5,Hispanic American,Film,Hong Kong,0
female,27,Asian-American,25,sligthly_above,7,8,7,7,6,Asian-American,"Social Science, Psychologist",new jersey,0
female,24,Asian-American,27,average,6,6,6,5,5,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",Northern Virginia,0
male,33,Asian-American,24,sligthly_above,7,8,9,8,7,Asian-American,Business/Econ/Finance,Singapore,0
female,26,Asian-American,24,average,6,6,6,6,6,Other,Biological Sciences/Chemistry/Physics,Taiwan,0
male,23,Asian-American,26,average,7,7,7,7,6,Asian-American,Engineering,"nashville, TN",0
female,26,Asian-American,24,below,3,3,3,3,3,Other,Biological Sciences/Chemistry/Physics,Maryland,0
female,22,Caucasian American,22,average,8,8,7,7,7,Caucasian American,Social Work,New Jersey,0
female,21,Caucasian American,29,sligthly_above,7,6,8,6,7,Asian-American,Law,Florida and Virginia,0
female,27,Caucasian American,22,sligthly_above,7,7,7,6,5,Caucasian American,Social Work,Maryland,0
male,33,Other,26,average,5,6,5,7,6,Asian-American,Business/Econ/Finance,Chile,0
male,23,Asian-American,27,sligthly_above,9,9,8,8,5,Caucasian American,Biological Sciences/Chemistry/Physics,China,0
female,38,Caucasian American,30,average,10,10,7,10,2,African American,Business/Econ/Finance,"NYC, San Francisco",0
male,26,Caucasian American,21,sligthly_above,6,7,7,7,6,Asian-American,Business/Econ/Finance,Italy,0
female,24,Caucasian American,27,sligthly_above,6,5,7,5,5,Caucasian American,"Social Science, Psychologist",NJ,0
female,35,Hispanic American,25,sligthly_above,10,8,7,7,5,Asian-American,Business/Econ/Finance,Panama,0
male,30,Asian-American,26,below,6,5,4,5,2,Caucasian American,Law,China,0
female,27,Asian-American,26,sligthly_above,7,9,7,8,8,Asian-American,"Education, Academia","atlanta, ga",0
female,26,African American,27,slightly_below,1,1,1,1,1,Asian-American,"Social Science, Psychologist","Brooklyn, NY",0
female,25,Caucasian American,22,average,7,10,6,6,5,Caucasian American,Math,Connecticut,0
female,26,Caucasian American,30,above,8,7,10,10,10,Other,Political Science/International Affairs,Washington DC,0
female,26,Caucasian American,26,average,7,7,6,6,7,Caucasian American,English/Creative Writing/Journalism,"New York, NY",0
male,24,Asian-American,26,average,5,5,5,5,5,Caucasian American,English/Creative Writing/Journalism,New Jersey,0
female,24,Caucasian American,25,average,8,7,7,6,6,Asian-American,Social Work,Uzbekistan,0
male,27,Caucasian American,26,sligthly_above,7,7,7,7,6,Caucasian American,"Social Science, Psychologist","Washington, DC",0
female,28,Caucasian American,29,sligthly_above,8,9,7,7,6,Caucasian American,Languages,new york city,0
female,28,Caucasian American,30,above,8,9,9,9,8,Other,English/Creative Writing/Journalism,Texas,0
male,28,Caucasian American,26,average,6,7,5,6,7,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",Boston,0
male,25,Caucasian American,22,above,9,9,9,9,9,Caucasian American,Business/Econ/Finance,Philadelphia,0
female,30,Caucasian American,30,above,10,9,10,9,9,Asian-American,"Education, Academia",NYC,0
female,25,Caucasian American,32,average,5,5,3,5,5,Caucasian American,Biological Sciences/Chemistry/Physics,Texas,0
female,26,African American,28,average,8,8,8,7,5,Hispanic American,"Social Science, Psychologist","Brooklyn, NY",0
male,28,Asian-American,32,average,6,6,6,6,1,Caucasian American,Business/Econ/Finance,California,0
male,27,Caucasian American,26,average,8,8,6,6,5,Asian-American,History/Religion/Philosophy,Los Angeles,0
male,25,Asian-American,23,average,8,8,7,7,6,Caucasian American,Business/Econ/Finance,Philadelphia,0
female,23,Caucasian American,27,sligthly_above,5,5,7,7,5,African American,Fine Arts/Arts Administration,San Diego,0
male,29,Asian-American,23,below,7,8,6,10,3,Caucasian American,Business/Econ/Finance,Singapore,0
male,28,Hispanic American,26,average,7,6,5,6,5,Asian-American,Business/Econ/Finance,Northern New Jersey,0
male,22,Caucasian American,24,average,5,8,8,8,2,Other,Law,Russia,0
male,24,Asian-American,25,average,8,10,3,8,3,Caucasian American,Math,California,0
male,28,Caucasian American,25,sligthly_above,7,7,6,7,6,Other,Business/Econ/Finance,Greece,0
male,22,Caucasian American,28,average,5,5,3,3,3,Caucasian American,Engineering,Paris,0
male,25,Caucasian American,24,sligthly_above,7,7,9,9,9,Caucasian American,Political Science/International Affairs,Azerbaijan,0
male,27,Caucasian American,23,average,10,10,9,8,7,Asian-American,Political Science/International Affairs,"Toronto, Canada",0
female,34,Asian-American,32,average,7,6,4,5,6,Hispanic American,Biological Sciences/Chemistry/Physics,Belgium,0
female,26,Hispanic American,22,average,8,9,9,5,4,Caucasian American,Social Work,New Jersey,0
male,29,Caucasian American,21,sligthly_above,9,9,8,8,7,Asian-American,Business/Econ/Finance,Wisconsin,0
female,26,Caucasian American,27,average,10,4,3,3,2,Caucasian American,"Social Science, Psychologist",New York,0
female,23,Caucasian American,25,sligthly_above,1,5,5,5,0,Caucasian American,Law,California,0
male,34,Caucasian American,28,sligthly_above,8,7,6,7,6,Caucasian American,Business/Econ/Finance,Washington DC,0
female,28,Caucasian American,27,sligthly_above,9,8,8,3,3,Caucasian American,"Social Science, Psychologist",NYC-6 yrs. Grew up in Nebraska,0
male,29,Asian-American,26,sligthly_above,6,5,7,7,5,Caucasian American,Business/Econ/Finance,India,0
male,22,Asian-American,28,below,2,7,0,4,0,Caucasian American,Political Science/International Affairs,Nepal,0
male,29,Caucasian American,32,average,6,7,4,7,3,Hispanic American,Biological Sciences/Chemistry/Physics,"Brooklyn, NY",0
male,21,Caucasian American,24,average,7,8,4,10,4,Caucasian American,Engineering,Siberia,0
male,23,Caucasian American,22,average,7,7,4,6,6,Caucasian American,Law,Philadelphia,0
male,25,African American,23,average,7,6,7,7,6,Asian-American,Law,Texas,0
male,26,Asian-American,35,average,6,7,5,7,8,Asian-American,Business/Econ/Finance,new york,0
male,25,Caucasian American,26,average,5,5,5,5,5,Asian-American,Biological Sciences/Chemistry/Physics,"Las Vegas, Nevada",0
female,22,Caucasian American,23,average,8,8,7,5,5,Caucasian American,Math,Vestal,0
female,24,Caucasian American,32,average,6,8,7,9,2,Caucasian American,History/Religion/Philosophy,New Jersey,0
female,27,Hispanic American,29,above,10,10,10,9,8,African American,Engineering,Canada,0
male,25,Caucasian American,33,average,7,8,7,8,5,Caucasian American,Business/Econ/Finance,Philadelphia,0
male,34,Caucasian American,21,sligthly_above,10,10,7,10,6,Asian-American,Law,Bronx Science,0
male,25,Caucasian American,25,average,6,10,8,7,7,Other,Biological Sciences/Chemistry/Physics,"Las Vegas, Nevada",0
female,23,Asian-American,42,above,8,8,7,5,6,Caucasian American,Political Science/International Affairs,China,0
male,26,Caucasian American,24,average,5,5,5,5,4,Asian-American,Business/Econ/Finance,nyc,0
female,28,Caucasian American,23,average,6,6,6,6,6,Asian-American,Political Science/International Affairs,Minneapolis,0
female,22,Asian-American,30,below,7,7,3,6,1,Caucasian American,Engineering,HKG,0
female,30,Caucasian American,30,average,7,7,4,7,4,Caucasian American,"Education, Academia",Arizona,0
female,24,Hispanic American,24,sligthly_above,5,5,5,5,4,Caucasian American,Law,Los Angeles,0
female,21,Asian-American,23,sligthly_above,9,10,9,10,9,African American,Business/Econ/Finance,SIngapore,0
female,25,Caucasian American,23,sligthly_above,8,8,9,9,8,African American,Math,Brazil,0
female,22,Asian-American,32,below,8,6,5,5,4,Caucasian American,Engineering,HKG,0
female,25,Caucasian American,26,average,7,6,5,4,5,Caucasian American,Business/Econ/Finance,New York,0
male,27,African American,26,average,8,9,5,8,6,Caucasian American,Law,Houston,0
male,27,Caucasian American,25,sligthly_above,9,9,8,9,7,Caucasian American,Business/Econ/Finance,New York,0
male,29,Caucasian American,33,sligthly_above,8,8,7,8,6,Caucasian American,Business/Econ/Finance,New Jersey,0
male,26,Caucasian American,23,above,9,9,10,10,9,Caucasian American,Business/Econ/Finance,"Los Angeles, CA",0
female,27,Caucasian American,28,average,8,6,7,6,5,Caucasian American,Biological Sciences/Chemistry/Physics,"Rochester, NY",0
female,24,Hispanic American,25,average,7,7,7,7,7,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",Texas,0
female,23,Other,22,average,8,7,7,6,5,Caucasian American,Social Work,"Boston, MA",0
male,25,Other,23,sligthly_above,9,10,10,9,7,Caucasian American,Political Science/International Affairs,DC,0
male,33,Other,29,average,8,9,6,10,5,Asian-American,Business/Econ/Finance,Chile,0
male,29,Hispanic American,28,average,8,7,8,8,3,Caucasian American,Business/Econ/Finance,Mexico,0
male,24,Caucasian American,24,average,9,8,6,7,7,Caucasian American,Film,New Jersey,0
male,25,Asian-American,23,average,5,7,7,5,6,Asian-American,Engineering,"BEIJING, CHINA",0
male,42,Caucasian American,27,average,7,6,6,6,5,Caucasian American,Political Science/International Affairs,"Detroit, Michigan, USA",0
female,20,African American,19,average,5,5,5,5,5,Asian-American,Business/Econ/Finance,New York,0
male,27,Caucasian American,23,average,8,9,2,8,3,Asian-American,Business/Econ/Finance,New York,0
male,32,Other,26,below,7,7,6,6,8,Caucasian American,Fine Arts/Arts Administration,Miami,0
male,21,Caucasian American,23,average,4,5,5,4,4,Caucasian American,Engineering,Siberia,0
male,27,Asian-American,26,sligthly_above,6,6,3,6,5,Caucasian American,Biological Sciences/Chemistry/Physics,New Jersey,0
male,26,Caucasian American,21,average,8,8,6,8,5,Asian-American,Business/Econ/Finance,Italy,0
female,28,Asian-American,29,average,7,6,4,8,3,Caucasian American,English/Creative Writing/Journalism,working,0
female,33,African American,31,average,5,5,5,5,5,Caucasian American,Film,Chicago,0
male,22,Caucasian American,33,average,6,8,9,8,6,Caucasian American,Biological Sciences/Chemistry/Physics,"State College, PA",0
male,23,Caucasian American,22,above,8,8,9,8,8,Caucasian American,Business/Econ/Finance,Pittsburgh,0
male,28,Caucasian American,28,sligthly_above,7,8,7,7,8,Caucasian American,Biological Sciences/Chemistry/Physics,"Buffalo, NY",0
female,26,Asian-American,28,average,6,7,6,5,5,Hispanic American,Biological Sciences/Chemistry/Physics,"Katonah, NY (more recently, Boston)",0
female,24,Caucasian American,30,average,6,6,6,7,6,Caucasian American,Fine Arts/Arts Administration,"Saratoga, NY",0
female,23,Caucasian American,30,average,5,4,3,4,3,Asian-American,Social Work,North Carolina,0
female,27,Caucasian American,27,average,10,4,5,6,4,Caucasian American,"Education, Academia",Massachusetts,0
female,27,Caucasian American,33,above,9,8,9,8,9,Other,Fine Arts/Arts Administration,Wisconsin,0
male,22,Hispanic American,22,average,7,7,7,7,6,Caucasian American,Law,Texas,0
male,25,Caucasian American,28,average,5,5,3,1,3,Caucasian American,Engineering,NJ,0
female,24,Hispanic American,24,sligthly_above,8,8,8,8,8,Other,"Medical Science, Pharmaceuticals, Bio Tech",Texas,0
female,26,Caucasian American,20,sligthly_above,8,9,9,7,8,Asian-American,Engineering,New Jersey,0
male,27,Caucasian American,25,sligthly_above,6,9,7,9,8,Caucasian American,"Social Science, Psychologist",Russia,0
female,28,Caucasian American,28,sligthly_above,9,7,7,7,6,Caucasian American,Political Science/International Affairs,Minneapolis,0
male,29,Hispanic American,24,above,8,8,7,8,8,Caucasian American,Business/Econ/Finance,Costa Rica,0
male,23,Caucasian American,26,average,6,7,8,7,6,Caucasian American,Biological Sciences/Chemistry/Physics,Philadelphia,0
female,28,Asian-American,21,average,5,7,5,5,7,Caucasian American,Business/Econ/Finance,California,0
male,25,Caucasian American,28,below,1,1,1,9,5,Hispanic American,Biological Sciences/Chemistry/Physics,Connecticut,0
male,28,Asian-American,26,average,5,5,6,6,5,Asian-American,Business/Econ/Finance,California,0
female,23,Asian-American,25,sligthly_above,8,8,9,8,8,Other,Political Science/International Affairs,China,0
female,22,Asian-American,26,average,10,9,7,6,4,Caucasian American,Engineering,HKG,0
female,23,Caucasian American,26,average,8,8,3,6,2,Asian-American,Biological Sciences/Chemistry/Physics,England,0
female,23,Caucasian American,26,average,7,6,6,6,6,Caucasian American,Social Work,NJ,0
male,26,Caucasian American,32,average,5,8,4,6,8,Caucasian American,Biological Sciences/Chemistry/Physics,"New Hope, PA",0
male,28,Caucasian American,31,sligthly_above,8,8,8,8,7,Caucasian American,Business/Econ/Finance,New York,0
female,23,Asian-American,28,average,8,8,3,4,5,Caucasian American,Political Science/International Affairs,China,0
male,28,Caucasian American,25,above,9,9,9,9,9,Caucasian American,Business/Econ/Finance,california,0
female,26,Asian-American,23,sligthly_above,8,7,7,8,6,Asian-American,Business/Econ/Finance,California and New York,0
female,24,Other,29,average,8,5,4,7,4,Caucasian American,"Social Science, Psychologist","New Delhi, India",0
female,26,Asian-American,29,above,9,10,9,10,8,Hispanic American,Business/Econ/Finance,California and New York,0
female,27,Asian-American,22,below,7,6,6,5,5,Caucasian American,Social Work,New York,0
male,29,Caucasian American,21,average,7,7,7,8,5,Caucasian American,Business/Econ/Finance,France  / New York,0
female,31,Caucasian American,23,above,8,9,7,7,7,Caucasian American,History/Religion/Philosophy,NYC,0
male,30,Caucasian American,27,average,8,8,7,6,7,Asian-American,Business/Econ/Finance,Germany,0
female,22,Caucasian American,32,average,6,6,6,5,5,Caucasian American,Law,Pennsylvania,0
female,28,Hispanic American,34,sligthly_above,7,6,5,4,4,Caucasian American,Political Science/International Affairs,Mexico,0
male,32,Caucasian American,23,average,5,8,8,8,6,Caucasian American,Engineering,Born in Iran,0
male,22,Asian-American,23,average,7,8,8,6,7,Caucasian American,Law,Southern California,0
male,29,Asian-American,28,sligthly_above,7,7,5,7,5,Caucasian American,Business/Econ/Finance,New York,0
male,25,Asian-American,22,average,7,8,7,7,5,Asian-American,Engineering,"BEIJING, CHINA",0
female,21,Asian-American,25,sligthly_above,8,8,6,7,3,Asian-American,"Social Science, Psychologist",Hong Kong,0
female,29,Caucasian American,25,above,1,7,5,4,3,Caucasian American,"Education, Academia",Baltimore,0
female,23,Caucasian American,24,above,9,9,10,8,5,Caucasian American,Law,California,0
female,26,Asian-American,23,above,7,7,9,8,6,Caucasian American,Business/Econ/Finance,New York,0
male,24,Asian-American,22,average,7,7,8,7,6,Asian-American,Engineering,San Diego,0
female,22,Hispanic American,30,sligthly_above,5,6,6,4,5,Caucasian American,"Social Science, Psychologist","Westchester, NY",0
female,33,Caucasian American,26,above,7,8,9,8,10,Caucasian American,"Education, Academia","Brooklyn, NY",0
female,30,Hispanic American,30,average,6,5,2,2,1,Caucasian American,Fine Arts/Arts Administration,Mexico,0
female,22,Caucasian American,32,average,5,5,4,4,4,Other,English/Creative Writing/Journalism,"Buffalo, NY",0
female,23,Asian-American,21,sligthly_above,8,8,6,6,2,Caucasian American,Biological Sciences/Chemistry/Physics,P. R. China,0
male,23,Asian-American,29,below,2,2,3,3,1,Hispanic American,Engineering,San Francisco,0
male,24,Asian-American,23,average,8,8,8,7,6,Asian-American,Math,Florida,0
female,26,Caucasian American,24,average,5,5,4,5,4,Caucasian American,Math,Brandeis University,0
female,20,African American,22,average,7,7,2,5,2,Caucasian American,Business/Econ/Finance,New York,0
male,28,Caucasian American,27,sligthly_above,6,8,8,8,3,Asian-American,Business/Econ/Finance,Italy,0
female,27,Asian-American,27,above,8,10,9,5,4,Caucasian American,"Education, Academia",Virginia,0
male,23,Caucasian American,26,average,5,8,5,5,5,Asian-American,Biological Sciences/Chemistry/Physics,NYC (Staten Island),0
female,27,Asian-American,24,sligthly_above,5,5,6,5,3,Caucasian American,Biological Sciences/Chemistry/Physics,California,0
male,21,Caucasian American,27,average,7,6,6,9,4,Asian-American,Law,Brooklyn,0
male,28,Asian-American,30,average,8,10,3,10,8,African American,Biological Sciences/Chemistry/Physics,India,0
female,27,Caucasian American,34,above,10,9,8,9,7,Caucasian American,"Social Science, Psychologist",Pennsylvania,0
male,23,Caucasian American,30,below,4,8,6,8,5,Hispanic American,Biological Sciences/Chemistry/Physics,Maryland,0
female,28,Caucasian American,21,sligthly_above,7,8,5,7,2,Caucasian American,Social Work,"Hastings-on-Hudson, NY",0
female,23,Asian-American,26,average,7,8,5,5,5,Caucasian American,Biological Sciences/Chemistry/Physics,P. R. China,0
female,23,Other,24,average,8,7,6,4,5,Caucasian American,Political Science/International Affairs,Ohio,0
female,21,Caucasian American,25,average,6,5,7,5,4,Caucasian American,"Social Science, Psychologist",Long Island,0
female,24,Other,30,average,8,8,7,7,7,Caucasian American,"Social Science, Psychologist","New Delhi, India",0
male,26,Caucasian American,22,sligthly_above,6,5,5,5,4,Asian-American,Engineering,Greece,0
male,24,Caucasian American,25,sligthly_above,8,8,7,8,7,Caucasian American,Law,New Jersey,0
male,30,African American,25,average,8,9,8,9,7,Asian-American,Political Science/International Affairs,New York City,0
male,22,Caucasian American,24,below,5,6,5,7,6,Caucasian American,Math,Russia,0
female,30,Hispanic American,21,sligthly_above,6,6,6,5,6,Caucasian American,English/Creative Writing/Journalism,California,0
female,25,African American,25,sligthly_above,8,7,6,6,5,Caucasian American,Biological Sciences/Chemistry/Physics,"Kansas City, Missouri",0
female,27,African American,23,below,2,3,2,2,1,Caucasian American,"Education, Academia","Ann Arbor, MI",0
female,29,Asian-American,26,average,8,6,5,8,6,Caucasian American,"Education, Academia",philippines,0
male,25,Asian-American,23,average,7,7,4,4,4,Caucasian American,Engineering,"BEIJING, CHINA",0
female,30,Other,25,sligthly_above,10,10,7,9,5,Caucasian American,Fine Arts/Arts Administration,Northern California,0
