gender,age,race,age_partner,attractiveness,sincerity,intelligence,funny,ambitious,shared_interests,race_partner,field_study,match
male,23,Asian-American,24,average,9,8,8,7,10,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,23,Asian-American,26,average,8,8,4,4,3,Asian-American,Biological Sciences/Chemistry/Physics,0
male,23,Asian-American,27,below,8,8,4,2,2,Asian-American,Biological Sciences/Chemistry/Physics,0
male,23,Asian-American,28,average,3,7,4,5,4,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,23,Asian-American,27,average,7,7,6,7,5,Asian-American,Biological Sciences/Chemistry/Physics,0
male,23,Asian-American,27,average,9,7,5,7,5,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,23,Asian-American,27,below,6,4,6,6,3,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,23,Asian-American,30,average,9,10,9,10,5,African American,Biological Sciences/Chemistry/Physics,0
male,23,Asian-American,28,below,8,8,7,6,7,Asian-American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,24,above,10,10,10,10,10,Caucasian American,Biological Sciences/Chemistry/Physics,1
male,28,Caucasian American,33,sligthly_above,9,9,8,8,8,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,23,sligthly_above,7,8,8,6,7,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,24,above,7,9,7,7,5,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,26,sligthly_above,7,8,7,7,5,Asian-American,Biological Sciences/Chemistry/Physics,1
male,28,Caucasian American,27,sligthly_above,8,8,5,5,2,Asian-American,Biological Sciences/Chemistry/Physics,1
male,28,Caucasian American,28,sligthly_above,7,8,7,7,8,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,31,above,9,9,9,9,7,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,27,sligthly_above,9,9,8,8,6,Asian-American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,27,above,9,9,9,8,9,Caucasian American,Biological Sciences/Chemistry/Physics,1
male,28,Caucasian American,27,sligthly_above,8,8,7,8,6,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,30,sligthly_above,9,10,8,9,10,African American,Biological Sciences/Chemistry/Physics,0
male,28,Caucasian American,28,sligthly_above,7,7,8,7,8,Asian-American,Biological Sciences/Chemistry/Physics,1
male,28,Asian-American,24,average,7,7,9,8,7,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,33,average,5,9,6,7,8,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,23,average,7,8,6,7,5,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,24,sligthly_above,10,9,7,7,10,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,26,average,7,8,4,6,4,Asian-American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,27,below,8,8,4,8,1,Asian-American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,31,average,6,9,6,9,3,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,28,below,8,8,3,7,2,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,27,average,10,10,5,9,6,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,27,below,8,8,3,8,6,Caucasian American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,30,average,8,10,3,10,8,African American,Biological Sciences/Chemistry/Physics,0
male,28,Asian-American,28,below,6,7,4,5,3,Asian-American,Biological Sciences/Chemistry/Physics,0
male,29,Caucasian American,24,average,10,9,5,6,2,Caucasian American,Business/Econ/Finance,1
male,29,Caucasian American,33,sligthly_above,9,9,7,8,8,Caucasian American,Business/Econ/Finance,0
male,29,Caucasian American,23,average,7,8,7,7,6,Caucasian American,Business/Econ/Finance,0
male,29,Caucasian American,24,above,9,9,7,8,5,Caucasian American,Business/Econ/Finance,0
male,29,Caucasian American,26,average,7,9,4,6,3,Asian-American,Business/Econ/Finance,0
male,29,Caucasian American,27,average,8,8,7,8,5,Asian-American,Business/Econ/Finance,0
male,29,Caucasian American,27,sligthly_above,9,9,8,8,8,Caucasian American,Business/Econ/Finance,1
male,29,Caucasian American,27,average,7,7,4,8,5,Caucasian American,Business/Econ/Finance,0
male,29,Caucasian American,30,average,8,10,2,9,2,African American,Business/Econ/Finance,0
male,29,Caucasian American,28,average,7,7,6,7,5,Asian-American,Business/Econ/Finance,0
male,27,Caucasian American,24,sligthly_above,7,8,8,8,8,Caucasian American,Business/Econ/Finance,1
male,27,Caucasian American,23,average,8,7,7,8,7,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,24,above,9,9,7,8,7,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,26,sligthly_above,10,10,10,8,8,Asian-American,Business/Econ/Finance,1
male,27,Caucasian American,27,sligthly_above,8,8,10,10,7,Asian-American,Business/Econ/Finance,0
male,27,Caucasian American,28,sligthly_above,7,7,6,6,6,Caucasian American,Business/Econ/Finance,1
male,27,Caucasian American,28,sligthly_above,8,7,6,7,8,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,27,above,10,10,10,10,8,Caucasian American,Business/Econ/Finance,1
male,27,Caucasian American,27,average,8,8,6,7,7,Caucasian American,Business/Econ/Finance,0
male,27,Caucasian American,30,average,9,10,8,10,7,African American,Business/Econ/Finance,1
male,27,Caucasian American,28,sligthly_above,7,7,8,7,7,Asian-American,Business/Econ/Finance,0
male,22,Caucasian American,24,average,4,8,9,9,9,Caucasian American,Math,1
male,22,Caucasian American,23,average,7,8,6,7,6,Caucasian American,Math,0
male,22,Caucasian American,24,sligthly_above,10,10,10,10,10,Caucasian American,Math,0
male,22,Caucasian American,26,average,8,8,8,4,5,Asian-American,Math,0
male,22,Caucasian American,27,sligthly_above,9,9,5,8,2,Asian-American,Math,0
male,22,Caucasian American,28,sligthly_above,7,8,9,6,10,Caucasian American,Math,1
male,22,Caucasian American,27,average,8,8,6,7,7,Asian-American,Math,0
male,22,Caucasian American,27,above,9,10,9,9,7,Caucasian American,Math,1
male,22,Caucasian American,27,below,8,8,4,8,6,Caucasian American,Math,0
male,22,Caucasian American,30,average,9,10,9,9,7,African American,Math,1
male,22,Caucasian American,28,average,6,5,6,5,6,Asian-American,Math,0
female,29,Asian-American,34,sligthly_above,10,10,8,6,7,Caucasian American,Business/Econ/Finance,1
female,29,Asian-American,25,average,6,7,6,5,8,Asian-American,Business/Econ/Finance,0
female,29,Asian-American,21,average,5,5,5,5,5,Caucasian American,Business/Econ/Finance,0
female,29,Asian-American,27,average,8,7,5,5,4,Other,Business/Econ/Finance,0
female,29,Asian-American,28,average,8,7,6,6,8,Caucasian American,Business/Econ/Finance,0
female,29,Asian-American,24,below,8,8,4,6,3,Caucasian American,Business/Econ/Finance,0
female,29,Asian-American,25,below,9,7,5,6,6,Asian-American,Business/Econ/Finance,0
female,23,Other,34,sligthly_above,10,10,7,10,8,Caucasian American,Political Science/International Affairs,0
female,23,Other,25,below,8,8,4,7,6,Asian-American,Political Science/International Affairs,0
female,23,Other,24,sligthly_above,6,6,6,5,7,Asian-American,Political Science/International Affairs,0
female,23,Other,21,average,5,6,5,5,5,Caucasian American,Political Science/International Affairs,1
female,23,Other,27,average,6,5,5,4,5,Other,Political Science/International Affairs,0
female,23,Other,25,above,8,8,9,8,10,Caucasian American,Political Science/International Affairs,1
female,23,Other,28,average,9,8,7,8,8,Caucasian American,Political Science/International Affairs,0
female,23,Other,24,average,8,7,6,4,5,Caucasian American,Political Science/International Affairs,0
female,23,Other,25,average,8,8,6,8,9,Asian-American,Political Science/International Affairs,1
female,28,Asian-American,34,above,10,10,7,10,6,Caucasian American,Business/Econ/Finance,1
female,28,Asian-American,25,below,8,8,4,7,6,Asian-American,Business/Econ/Finance,0
female,28,Asian-American,24,sligthly_above,7,7,6,7,8,Asian-American,Business/Econ/Finance,1
female,28,Asian-American,21,average,5,7,5,5,7,Caucasian American,Business/Econ/Finance,0
female,28,Asian-American,27,sligthly_above,8,5,6,4,5,Other,Business/Econ/Finance,0
female,28,Asian-American,28,sligthly_above,8,7,7,8,7,Caucasian American,Business/Econ/Finance,1
female,28,Asian-American,24,sligthly_above,8,9,3,9,3,Caucasian American,Business/Econ/Finance,0
female,28,Asian-American,25,average,9,9,3,9,6,Asian-American,Business/Econ/Finance,0
female,22,Caucasian American,34,sligthly_above,10,10,10,10,10,Caucasian American,Political Science/International Affairs,0
female,22,Caucasian American,25,below,9,9,8,9,5,Asian-American,Political Science/International Affairs,0
female,22,Caucasian American,24,average,5,7,8,5,2,Asian-American,Political Science/International Affairs,0
female,22,Caucasian American,21,below,4,5,5,5,5,Caucasian American,Political Science/International Affairs,0
female,22,Caucasian American,27,average,6,6,5,9,5,Other,Political Science/International Affairs,0
female,22,Caucasian American,28,average,7,7,6,6,6,Caucasian American,Political Science/International Affairs,0
female,22,Caucasian American,24,average,8,6,7,9,4,Caucasian American,Political Science/International Affairs,0
female,22,Caucasian American,25,average,8,8,6,8,7,Asian-American,Political Science/International Affairs,0
female,35,Asian-American,34,sligthly_above,10,10,8,9,7,Caucasian American,"Social Science, Psychologist",0
female,35,Asian-American,25,below,7,7,6,8,9,Asian-American,"Social Science, Psychologist",0
female,35,Asian-American,21,average,5,6,5,5,5,Caucasian American,"Social Science, Psychologist",0
female,35,Asian-American,27,average,8,8,5,5,6,Other,"Social Science, Psychologist",0
female,35,Asian-American,28,average,8,7,7,5,5,Caucasian American,"Social Science, Psychologist",0
female,35,Asian-American,24,average,7,6,6,6,4,Caucasian American,"Social Science, Psychologist",0
female,35,Asian-American,25,below,9,9,6,10,9,Asian-American,"Social Science, Psychologist",0
female,30,Hispanic American,34,above,10,10,10,10,5,Caucasian American,English/Creative Writing/Journalism,0
female,30,Hispanic American,25,sligthly_above,8,9,9,9,10,Asian-American,English/Creative Writing/Journalism,0
female,30,Hispanic American,24,sligthly_above,7,7,8,7,6,Asian-American,English/Creative Writing/Journalism,0
female,30,Hispanic American,21,sligthly_above,6,6,6,5,6,Caucasian American,English/Creative Writing/Journalism,0
female,30,Hispanic American,27,sligthly_above,8,8,8,8,7,Other,English/Creative Writing/Journalism,0
female,30,Hispanic American,25,above,8,10,9,9,5,Caucasian American,English/Creative Writing/Journalism,1
female,30,Hispanic American,28,sligthly_above,8,9,8,8,6,Caucasian American,English/Creative Writing/Journalism,0
female,30,Hispanic American,24,sligthly_above,7,8,8,6,4,Caucasian American,English/Creative Writing/Journalism,0
female,30,Hispanic American,25,above,9,9,8,8,8,Asian-American,English/Creative Writing/Journalism,0
female,24,Asian-American,34,above,9,8,8,9,9,Caucasian American,Business/Econ/Finance,1
female,24,Asian-American,25,above,10,8,8,8,5,Asian-American,Business/Econ/Finance,0
female,24,Asian-American,21,sligthly_above,8,5,8,5,8,Caucasian American,Business/Econ/Finance,0
female,24,Asian-American,27,average,8,8,6,6,5,Other,Business/Econ/Finance,0
female,24,Asian-American,28,sligthly_above,8,7,7,8,7,Caucasian American,Business/Econ/Finance,0
female,24,Asian-American,24,sligthly_above,7,8,8,6,4,Caucasian American,Business/Econ/Finance,1
female,24,Asian-American,25,sligthly_above,8,8,6,7,8,Asian-American,Business/Econ/Finance,0
female,22,African American,34,above,10,10,8,10,9,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,25,above,10,8,8,8,5,Asian-American,"Medical Science, Pharmaceuticals, Bio Tech",1
female,22,African American,21,average,7,5,6,2,5,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,27,average,7,7,6,7,6,Other,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,28,sligthly_above,8,8,8,8,5,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",1
female,22,African American,24,sligthly_above,7,6,5,6,3,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,25,sligthly_above,10,8,6,9,9,Asian-American,"Medical Science, Pharmaceuticals, Bio Tech",1
female,22,African American,34,sligthly_above,10,10,8,9,6,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,25,average,8,9,9,9,5,Asian-American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,21,average,7,7,6,7,5,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,27,average,7,6,6,7,5,Other,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,28,average,7,7,7,8,5,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,24,below,8,7,6,7,3,Caucasian American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,22,African American,25,below,9,7,6,8,6,Asian-American,"Medical Science, Pharmaceuticals, Bio Tech",0
female,24,Caucasian American,34,above,10,10,10,10,10,Caucasian American,Social Work,1
female,24,Caucasian American,25,average,6,6,7,6,10,Asian-American,Social Work,0
female,24,Caucasian American,24,sligthly_above,7,6,6,5,3,Asian-American,Social Work,0
female,24,Caucasian American,21,average,5,5,5,5,5,Caucasian American,Social Work,0
female,24,Caucasian American,27,average,8,7,7,7,6,Other,Social Work,0
female,24,Caucasian American,25,sligthly_above,3,8,8,4,1,Caucasian American,Social Work,0
female,24,Caucasian American,28,average,7,7,6,6,6,Caucasian American,Social Work,0
female,24,Caucasian American,24,average,7,6,5,5,6,Caucasian American,Social Work,0
female,24,Caucasian American,25,average,8,7,7,6,6,Asian-American,Social Work,0
male,34,Caucasian American,29,average,6,6,6,6,6,Asian-American,Business/Econ/Finance,1
male,34,Caucasian American,23,sligthly_above,7,7,7,7,7,Other,Business/Econ/Finance,0
male,34,Caucasian American,28,sligthly_above,7,8,6,7,5,Asian-American,Business/Econ/Finance,1
male,34,Caucasian American,22,average,7,7,5,6,5,Caucasian American,Business/Econ/Finance,0
male,34,Caucasian American,30,below,7,6,4,6,7,Hispanic American,Business/Econ/Finance,0
male,34,Caucasian American,24,sligthly_above,8,7,8,7,6,Asian-American,Business/Econ/Finance,1
male,34,Caucasian American,22,sligthly_above,9,8,9,10,7,African American,Business/Econ/Finance,0
male,34,Caucasian American,22,sligthly_above,8,8,8,9,8,African American,Business/Econ/Finance,0
male,34,Caucasian American,24,sligthly_above,9,9,7,6,9,Caucasian American,Business/Econ/Finance,1
male,25,Asian-American,23,below,7,7,5,7,2,Other,Math,0
male,25,Asian-American,28,average,5,6,6,7,4,Asian-American,Math,0
male,25,Asian-American,22,below,3,3,3,5,2,Caucasian American,Math,0
male,25,Asian-American,30,average,6,6,5,6,6,Hispanic American,Math,0
male,25,Asian-American,24,average,4,4,3,3,3,Asian-American,Math,0
male,25,Asian-American,22,average,8,9,6,10,6,African American,Math,1
male,25,Asian-American,22,sligthly_above,7,8,9,8,8,African American,Math,0
male,25,Asian-American,24,sligthly_above,6,7,6,6,7,Caucasian American,Math,0
male,24,Asian-American,29,average,5,6,6,6,6,Asian-American,Engineering,0
male,24,Asian-American,23,below,8,8,7,8,6,Other,Engineering,0
male,24,Asian-American,28,sligthly_above,8,7,6,5,6,Asian-American,Engineering,1
male,24,Asian-American,22,below,6,7,2,4,2,Caucasian American,Engineering,0
male,24,Asian-American,30,average,8,7,6,6,7,Hispanic American,Engineering,0
male,24,Asian-American,24,average,7,7,5,5,6,Asian-American,Engineering,0
male,24,Asian-American,22,sligthly_above,8,9,7,9,7,African American,Engineering,1
male,24,Asian-American,22,average,8,10,9,10,8,African American,Engineering,0
male,24,Asian-American,24,sligthly_above,8,8,7,6,5,Caucasian American,Engineering,0
male,26,Caucasian American,29,average,5,5,5,5,7,Asian-American,Business/Econ/Finance,1
male,26,Caucasian American,23,average,6,7,7,6,7,Other,Business/Econ/Finance,0
male,26,Caucasian American,28,average,5,5,5,5,5,Asian-American,Business/Econ/Finance,0
male,26,Caucasian American,30,average,8,7,6,6,7,Hispanic American,Business/Econ/Finance,0
male,26,Caucasian American,24,average,5,5,5,5,4,Asian-American,Business/Econ/Finance,0
male,26,Caucasian American,22,average,4,4,4,4,4,African American,Business/Econ/Finance,0
male,26,Caucasian American,22,average,8,9,8,9,9,African American,Business/Econ/Finance,0
male,26,Caucasian American,24,average,6,6,6,6,6,Caucasian American,Business/Econ/Finance,0
male,21,Caucasian American,29,average,5,5,5,5,5,Asian-American,Engineering,0
male,21,Caucasian American,23,average,7,7,7,7,7,Other,Engineering,1
male,21,Caucasian American,28,sligthly_above,5,6,8,6,4,Asian-American,Engineering,0
male,21,Caucasian American,22,slightly_below,6,6,3,4,2,Caucasian American,Engineering,0
male,21,Caucasian American,30,average,8,7,6,7,6,Hispanic American,Engineering,0
male,21,Caucasian American,24,sligthly_above,8,8,7,8,5,Asian-American,Engineering,0
male,21,Caucasian American,22,average,4,4,4,4,4,African American,Engineering,0
male,21,Caucasian American,22,slightly_below,7,8,9,10,9,African American,Engineering,0
male,21,Caucasian American,24,average,7,7,7,7,6,Caucasian American,Engineering,0
male,27,Other,29,average,5,5,5,5,5,Asian-American,Law,0
male,27,Other,23,average,7,7,6,6,7,Other,Law,0
male,27,Other,28,average,7,7,5,5,3,Asian-American,Law,0
male,27,Other,22,average,6,6,3,5,4,Caucasian American,Law,0
male,27,Other,30,average,8,7,5,7,7,Hispanic American,Law,0
male,27,Other,24,sligthly_above,6,7,6,6,5,Asian-American,Law,0
male,27,Other,22,average,10,8,8,9,4,African American,Law,0
male,27,Other,22,average,8,8,8,9,8,African American,Law,0
male,27,Other,24,average,8,8,7,6,9,Caucasian American,Law,0
male,25,Caucasian American,29,average,5,6,6,6,6,Asian-American,Political Science/International Affairs,0
male,25,Caucasian American,23,sligthly_above,8,7,7,5,7,Other,Political Science/International Affairs,1
male,25,Caucasian American,28,sligthly_above,7,6,8,6,2,Asian-American,Political Science/International Affairs,0
male,25,Caucasian American,22,average,7,7,8,8,3,Caucasian American,Political Science/International Affairs,0
male,25,Caucasian American,30,sligthly_above,6,7,7,7,7,Hispanic American,Political Science/International Affairs,1
male,25,Caucasian American,24,sligthly_above,7,7,8,7,6,Asian-American,Political Science/International Affairs,0
male,25,Caucasian American,22,average,5,6,10,5,4,African American,Political Science/International Affairs,1
male,25,Caucasian American,22,sligthly_above,8,9,9,9,8,African American,Political Science/International Affairs,0
male,25,Caucasian American,24,sligthly_above,7,7,9,9,9,Caucasian American,Political Science/International Affairs,0
male,28,Caucasian American,29,average,6,5,7,7,6,Asian-American,Business/Econ/Finance,0
male,28,Caucasian American,23,slightly_below,7,8,8,8,8,Other,Business/Econ/Finance,0
male,28,Caucasian American,28,sligthly_above,6,7,8,7,6,Asian-American,Business/Econ/Finance,1
male,28,Caucasian American,22,sligthly_above,7,7,6,8,7,Caucasian American,Business/Econ/Finance,0
male,28,Caucasian American,30,average,7,6,4,6,5,Hispanic American,Business/Econ/Finance,0
male,28,Caucasian American,24,sligthly_above,7,8,8,8,7,Asian-American,Business/Econ/Finance,0
male,28,Caucasian American,22,sligthly_above,9,8,8,8,4,African American,Business/Econ/Finance,1
male,28,Caucasian American,22,above,9,9,9,9,8,African American,Business/Econ/Finance,0
male,28,Caucasian American,24,sligthly_above,7,7,7,7,7,Caucasian American,Business/Econ/Finance,0
male,24,Caucasian American,29,average,5,6,7,7,7,Asian-American,Business/Econ/Finance,0
male,24,Caucasian American,23,slightly_below,5,7,8,7,8,Other,Business/Econ/Finance,0
male,24,Caucasian American,28,sligthly_above,7,9,6,7,7,Asian-American,Business/Econ/Finance,0
male,24,Caucasian American,22,sligthly_above,7,8,8,8,7,Caucasian American,Business/Econ/Finance,0
male,24,Caucasian American,30,average,6,6,6,5,4,Hispanic American,Business/Econ/Finance,0
male,24,Caucasian American,24,above,8,8,9,8,9,Asian-American,Business/Econ/Finance,1
male,24,Caucasian American,22,average,4,4,9,5,9,African American,Business/Econ/Finance,0
male,24,Caucasian American,22,sligthly_above,9,9,9,9,8,African American,Business/Econ/Finance,0
male,24,Caucasian American,24,sligthly_above,8,8,8,8,8,Caucasian American,Business/Econ/Finance,0
male,25,Asian-American,29,average,5,6,7,7,7,Asian-American,Law,0
male,25,Asian-American,23,average,6,7,6,7,7,Other,Law,1
male,25,Asian-American,28,sligthly_above,8,8,6,7,6,Asian-American,Law,0
male,25,Asian-American,22,average,7,7,6,7,5,Caucasian American,Law,0
male,25,Asian-American,30,average,7,7,8,8,7,Hispanic American,Law,0
male,25,Asian-American,24,sligthly_above,7,7,8,6,5,Asian-American,Law,0
male,25,Asian-American,22,sligthly_above,8,9,8,9,9,African American,Law,1
male,25,Asian-American,22,average,8,9,9,9,6,African American,Law,0
male,25,Asian-American,24,sligthly_above,8,7,6,6,6,Caucasian American,Law,0
female,24,Caucasian American,23,sligthly_above,8,6,7,8,3,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,26,below,4,4,3,3,4,Asian-American,"Social Science, Psychologist",0
female,24,Caucasian American,27,average,5,7,5,5,5,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,26,below,9,9,4,7,6,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,24,below,6,4,5,4,4,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,25,average,8,8,7,9,0,Other,"Social Science, Psychologist",0
female,24,Caucasian American,27,average,3,6,7,6,5,Asian-American,"Social Science, Psychologist",1
female,24,Caucasian American,27,sligthly_above,4,4,4,7,2,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,28,sligthly_above,7,7,8,6,7,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,32,average,8,7,7,6,7,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,28,average,4,5,5,3,4,Hispanic American,"Social Science, Psychologist",0
female,24,Caucasian American,23,average,5,5,4,5,4,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,26,average,6,6,5,5,5,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,24,average,7,6,4,6,5,Asian-American,"Social Science, Psychologist",0
female,24,Caucasian American,28,slightly_below,5,5,3,5,3,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,42,below,5,5,2,2,2,Caucasian American,"Social Science, Psychologist",0
female,24,Caucasian American,30,average,4,6,5,6,4,Hispanic American,"Social Science, Psychologist",0
female,24,Caucasian American,31,average,5,5,4,3,5,Caucasian American,"Social Science, Psychologist",0
female,27,Caucasian American,23,above,8,7,7,7,5,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,26,average,9,8,9,7,9,Asian-American,Biological Sciences/Chemistry/Physics,1
female,27,Caucasian American,27,sligthly_above,7,9,8,8,4,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,26,average,5,9,4,6,5,Caucasian American,Biological Sciences/Chemistry/Physics,1
female,27,Caucasian American,24,average,7,7,5,6,6,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,26,sligthly_above,8,7,7,4,7,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,25,sligthly_above,8,9,10,8,9,Other,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,27,sligthly_above,8,8,8,5,5,Asian-American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,27,average,3,8,3,3,2,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,28,average,8,6,7,6,5,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,32,sligthly_above,6,7,7,7,8,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,28,average,7,7,7,6,6,Hispanic American,Biological Sciences/Chemistry/Physics,1
female,27,Caucasian American,23,average,7,7,8,6,6,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,26,average,4,8,8,5,6,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,24,average,6,6,7,6,5,Asian-American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,28,sligthly_above,9,7,9,5,5,Caucasian American,Biological Sciences/Chemistry/Physics,1
female,27,Caucasian American,42,sligthly_above,7,7,7,6,5,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,30,average,8,8,8,4,6,Hispanic American,Biological Sciences/Chemistry/Physics,0
female,27,Caucasian American,31,sligthly_above,8,8,8,6,7,Caucasian American,Biological Sciences/Chemistry/Physics,0
female,25,Asian-American,23,sligthly_above,8,8,7,9,5,Caucasian American,History/Religion/Philosophy,1
female,25,Asian-American,26,average,8,5,3,3,3,Asian-American,History/Religion/Philosophy,0
female,25,Asian-American,27,sligthly_above,6,9,7,7,6,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,26,average,7,8,5,4,6,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,24,below,5,4,3,6,2,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,26,sligthly_above,7,7,5,5,7,Caucasian American,History/Religion/Philosophy,1
female,25,Asian-American,25,above,10,10,9,9,10,Other,History/Religion/Philosophy,0
female,25,Asian-American,27,average,5,5,4,3,3,Asian-American,History/Religion/Philosophy,0
female,25,Asian-American,27,sligthly_above,6,5,3,4,5,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,28,sligthly_above,8,6,2,8,2,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,32,sligthly_above,8,5,5,5,5,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,28,average,5,5,3,2,3,Hispanic American,History/Religion/Philosophy,0
female,25,Asian-American,23,average,8,7,4,6,5,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,26,average,7,7,6,5,3,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,24,average,7,6,4,5,6,Asian-American,History/Religion/Philosophy,0
female,25,Asian-American,28,average,7,8,2,1,1,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,42,sligthly_above,7,8,5,5,6,Caucasian American,History/Religion/Philosophy,0
female,25,Asian-American,30,sligthly_above,6,7,6,6,3,Hispanic American,History/Religion/Philosophy,0
female,25,Asian-American,31,average,6,6,5,5,4,Caucasian American,History/Religion/Philosophy,0
female,24,Other,23,sligthly_above,8,9,6,8,5,Caucasian American,Political Science/International Affairs,0
female,24,Other,26,sligthly_above,9,9,6,7,4,Asian-American,Political Science/International Affairs,0
female,24,Other,27,average,8,8,6,6,3,Caucasian American,Political Science/International Affairs,0
female,24,Other,26,sligthly_above,7,9,7,7,7,Caucasian American,Political Science/International Affairs,1
female,24,Other,24,below,3,4,4,4,3,Caucasian American,Political Science/International Affairs,0
female,24,Other,26,average,8,6,5,5,6,Caucasian American,Political Science/International Affairs,0
female,24,Other,25,sligthly_above,8,7,8,9,10,Other,Political Science/International Affairs,0
female,24,Other,27,sligthly_above,6,7,6,6,5,Asian-American,Political Science/International Affairs,0
female,24,Other,27,sligthly_above,4,7,6,7,5,Caucasian American,Political Science/International Affairs,0
female,24,Other,28,sligthly_above,6,7,4,8,5,Caucasian American,Political Science/International Affairs,0
female,24,Other,32,average,8,8,10,5,7,Caucasian American,Political Science/International Affairs,0
female,24,Other,28,average,6,6,5,6,8,Hispanic American,Political Science/International Affairs,0
female,24,Other,23,sligthly_above,8,8,8,7,7,Caucasian American,Political Science/International Affairs,0
female,24,Other,26,sligthly_above,7,7,7,7,7,Caucasian American,Political Science/International Affairs,0
female,24,Other,24,average,6,6,6,7,5,Asian-American,Political Science/International Affairs,0
female,24,Other,28,average,8,8,5,4,3,Caucasian American,Political Science/International Affairs,0
female,24,Other,42,sligthly_above,6,7,6,5,5,Caucasian American,Political Science/International Affairs,0
female,24,Other,30,above,5,6,6,6,9,Hispanic American,Political Science/International Affairs,1
